title,year,rating,review_count,stars
All the Wrong Reasons,2024,7.5,(56),"Autumn Noel, Josh Stone, Ashley Brinkman"
"Goodbye, My CEO",2023,7.2,(132),"Maryana Dvorska, Kasey Esser, Nic Caruccio"
"Ms. Swan, Teach Me Love",2024,8.3,(70),"Candace Mizga, Hannah Lowery, Sarah Moliski"
The Art Collector,2019,9.0,(6),"Nora Jobling, Jack Turner, Kristen Vaganos"
Snatched a Billionaire to Be My Husband,2024,7.8,(737),"Grace Woods Swanson, Jarred Harper, Courtney Lynn Green"
Runaway Princess Bride,2024,8.0,(148),"Brittany Pirozzoli, Luke Charles Stafford, Nickolas Natali"
"Big Bad Husband, Please Wake Up!",2023,7.0,(155),"Samantha Drews, Roman Chsherbakov, Matt McGee"
Escorting the Heiress,2024,8.1,(312),"Ashley Michelle Grant, Noah Fearnley, Sarah Moliski"
Curse of the Dragon King,2024,7.8,(55),"Mario Silva, Isabella De Souza Moore, Jolene Andersen"
Spoiled by the Billionaire,2024,7.8,(58),"Sijing Yang, Sia Kravchenko, Kasey Esser, Sarah Iranca"
How My Boss Became My Hubby,2023–,7.4,(52),"Jey Reynolds, Kirsten Schaffer, Joanna Marie Hobbie"
The Billionaire's Masquerade,2024,7.0,(70),"Christine Oswald, Tyler Johnson Ellis, Hailey Swartwout"
"Baby, Just Say Yes!",2024,8.1,(95),"Brittney Rae, Alex Trumble, Thomas King"
Bound by Vendetta: Sleeping with the Enemy,2023,7.7,(216),"Marc Herrmann, Addison Bowman, Lobat Asadi"
We Will Love Again,2024,7.3,(236),"Seth Edeen, Alena Savostikova, Christine"
The One That Got Away,2024,6.7,(114),"Catherine Tregenna, Marc Herrmann, Sarah Brooks, Danny Farber"
The Reborn Wife's Redemption,2023,7.4,(49),"Alexandria Watts, Ethan Kirschbaum, Annie Sullivan"
"Love Me, Bite Me",2024,8.2,(70),"Jackie Green, Andrew Keives, Samantha Drews"
My Gorgeous Wife Is an Ex-Convict,2023,7.4,(56),"Nova Gaver, Ryan Watson Henderson, Sophie Jordan Collins"
Cross My Heart and Hope to Die,2023,6.8,(44),"Sam Manacsa, Jorrybell Agoto, Rexon Anyayahan, Aje Candelaria"
One Night Stand,2023,7.5,(44),"Pimprapa Thangprapaporn, Esther Supreeleela, Sutatta Udomsilp"
Love the Way You Lie,2024,7.4,(367),"Grace Woods Swanson, Myles Clohessy, Maxwell David Marcus"
The Mafia's Obsession,2024,7.9,(346),"Elliott Eason, Lucas Wilson, Terry Bird"
Waking Up Married to My Crush,2024,7.5,(180),"Bogdan Ruban, Ruslan Miroshnychenko, Anastasia Ivaniuk"
Falling in Love with the Rascal in a Suit,2024,7.6,(182),"Rebecca Stoughton, Mark Vega, Matthew Layton"
The Best Mistake Ever,2024,8.2,(83),"Jarred Harper, Dominique Rose, Jared Harper"
From Contract Lover to the Billionaire's Bride,2024,6.9,(611),"Evey Yu, Jackson Tiller, Kyra Wisely, A. BeLoat"
My Secret Agent Husband,2024,7.4,(806),"Michael Naizu, Andrei Prunila, Bri Ana Wagner"
The Divorced Billionaire Heiress,2024,4.8,(1.1K),"Lawrence Shagawat, John Morgan, Mariah Moss"
After Divorce: I Become Heiress,2024,7.4,(44),"Elijah Van Zanten, Jesse Gallagher, Jeff Lawless"
Fated to My Cruel CEO,2024–,7.7,(98),"Kasey Esser, Autumn Noel, Mark Pontarelli"
My Heartless Alpha,2024–,8.4,(84),"Lil Safonova, Rebecca Stoughton, Ethan Kirschbaum"
How I See Through You,2024,6.8,(22),"Felix Merback, Faith West, Chanda Davetas"
Forget Me Not: Omega's Return,2023,7.6,(78),"Livia Pillmann, Eric Guilmette, Kyle Fragnoli"
Sleeping Handsome,2023,7.3,(60),"Troy Dillinger, Julian Dane, Rob Shiells"
