title,year,rating,review_count,stars,detail_url,storyline,genre1,genre2,genre3,release_date,country_of_origin,platform1,platform2,platform3,production_company
Sleeping Handsome,2023,7.3,-60,"Troy Dillinger, Julian Dane, Rob Shiells",https://www.imdb.com/title/tt28684439/,"Avery, a struggling call girl, seizes the chance to marry the sole heir of the rich Waldorf family to earn money for her mother's medical bills.",Drama,,,"August 1, 2023 (United States)",United States,,,,"Drama Box, Reverse Clock Entertainment"
The Return of the Unwanted Wife,2024,7.7,-104,"Christine Havens, Eric Guilmette, Vivian Holdsworth",https://www.imdb.com/title/tt32904273/,"Kaylee sells her soul to Lucifer for her husband's career. Five years later, he divorces her and Lucifer returns to claim her soul. Their daughter Sophie, abused by her stepmother, makes a deal with Lucifer for her mother's return.",Drama,Fantasy,Thriller,"July 13, 2024 (United States)",United States,ShortMax,ShortMax,,"ShortMax, Time Span Entertainment"
One Fateful Night with My Boss,2024,7.5,-236,"Cosette Hatch, Ryan Watson Henderson, Crystal St John",https://www.imdb.com/title/tt32316641/,"Six years after a one-night stand with a stranger, Anita returns to the city with her son, who starts calling her new boss ""dad"". Could this charming CEO be the father?",Drama,,,"May 6, 2024 (United States)",United States,DramaBox,,,"Bad Larry Productions, Drama Box"
Mated to My Fiance's Alpha Daddy,2024,7.6,-149,"Emma Hullar, Nick Ritacco, Andrue Velarde",https://www.imdb.com/title/tt33303517/,Add a plot in your language,Drama,,,"August 29, 2024 (United States)",United States,DramaBox,DramaLet,,AC Prochi Productions
Mafia's Good Girl,2024,6.8,-705,"Jackson Tiller, Sia Kravchenko, Victoria Martzloff",https://www.imdb.com/title/tt32893019/,"Kidnapped by the mafia king, innocent Bella enters a brand new world and discovers a new self. Could this be love, or is it just Stockholm syndrome?",Drama,,,"July 5, 2024 (United States)",United States,DramaBox,,,"AC Prochi Productions, Drama Box"
Spoiled by Four Billionaires,2024,7.7,-100,"Kirby Ellwood, Elijah Van Zanten, Mary Foster",https://www.imdb.com/title/tt33479844/,"A woman is courted by four billionaires vying for her affection through luxurious gestures and romance. Caught in a whirlwind of passion and competition, she must choose her heart's desire.",Drama,,,"September 22, 2024 (United States)",United States,DramaBox,,,Won the Lens
"Revenge Marriage, Sweet Love",2023,6.7,-349,"Jarred Harper, Emma Kotos, Rebecca Tarabocchia",https://www.imdb.com/title/tt29294554/,"Cate's sister Rebecca had stolen her boyfriend Ethan and stripped her of her inheritance. Fueled by desire for revenge, a drunken Cate decided to seduce Ethan's handsome uncle Shaun who later was ignited by Cate and fell madly in love.",Romance,,,"September 1, 2023 (United States)",United States,,,,AC Prochi Productions
Rebel in Devil's Shackle,2023,6.3,-123,"Jackson Tiller, Sofia López, Jason Morciglio",https://www.imdb.com/title/tt30524179/,"Aristocrat Nina Morgan unwittingly gets entangled with mafia lord Max Luther in a dangerous game of riches. Once privileged, she's now dragged into his sinister world of pleasure and pain.",Drama,,,"August 8, 2023 (United States)",United States,GoodShort,Official YouTube,,Reverse Clock Entertainment
Flash Marriage with My Werewolf Husband,2024,8,-163,"Summer Soderstrom, Emily Gateley, Ryan Watson Henderson",https://www.imdb.com/title/tt31145973/,Lisa bumps into a flash marriage with her boss and gradually finds him a werewolf. How will Lisa choose finding that she has fallen into the legendary cruel werewolf?,Romance,,,"January 10, 2024 (United States)",United States,Lisa bumps into a flash marriage with her boss and gradually finds him a werewolf,,,AC Prochi Productions
I Wish It Were You,2024–,7.4,(1K),"Jackson Tiller, Grace Woods Swanson, Karen Margaret Cole",https://www.imdb.com/title/tt31976454/,"Isabel found herself reluctantly married to a stranger named Jared. As Isabel navigated her new life at work, she unexpectedly fell deeply for her boss-the billionaire Lorenzo Bellini.",Romance,,,"April 1, 2024 (United States)",United States,the show is now streaming on dramabox,,,Drama Box
The Deal with Love,2024,7.5,-41,"Kendyl Twa, Fraser Murray, Joe Berg",https://www.imdb.com/title/tt31961919/,"Single girl Katherine gets mysteriously pregnant. Her boss's fiance accuses him of fathering the child, though he denies any involvement, leaving Katherine baffled about the paternity.",Romance,,,"March 27, 2024 (United States)",Canada,DramaBox,,,October Studio
"Billionaire Twins: Daddy, Please Take Mommy",2024,7.6,-34,"Saana, Nic Westaway, Mitch G. Nel",https://www.imdb.com/title/tt33365219/,"Hannah's life shattered five years ago, but her love for her twins kept her going. Now, she's a powerful woman returning to face her past-and the billionaire father of her children is ready to rewrite their story.",Romance,,,"September 5, 2024 (United States)",Canada,,,,Sparkland Pictures
Stripper Nanny: Forbidden Romance with Mafia,2024,7.4,-57,"Sophia Delucchi, Levi Peterson, Simone Harris",https://www.imdb.com/title/tt31050735/,"Daphne changed job three times this month and somehow ended up escaping from her alcoholic father and working in a strip club. What's more, she has never expected that she would've provoked the most dangerous and formidable mafia boss, .",Drama,,,"January 10, 2024 (United States)",United States,,,,"Califorest Vision, DomiReel"
"Marry My Husband, Please!",2024,7.7,-49,"Crystal St John, Nicolas James Wilson, Ben Whalen",https://www.imdb.com/title/tt31566039/,"Little did he know, the woman he once scorned as his ex-wife had become a heartthrob, captivating the hearts of many men after their divorce.",Drama,Family,Romance,"March 8, 2024 (United States)",United States,DomiReel,DomiReel,,24K Onions
Midnight Love,2023,,,"Natalia Sophia Gonzalez, Colton Carlson, Kylie Cunningham, Joseph Echavarria",https://www.imdb.com/title/tt30834560/,Add a plot in your language,Short,Comedy,,"December 1, 2023 (United States)",United States,,,,One11 Films
Revenge of the Abandoned Heiress,2024,8.1,-65,"Luke Brown, Christopher Quartuccio, Jean Evans",https://www.imdb.com/title/tt32765091/,"Mia Gerber, betrayed and childless, plots her vengeance against her deceitful ex. But her revenge isn't just sweet-it's strategic. Her weapon? A marriage to a chilling heir with a heart of ice.",Drama,,,"April 22, 2024 (United States)",United States,Alta TV's official link,,,Bluesky Studio
Don't Tell My Boss I'm a Girl,2024,7.7,-68,"Katherine Smith-Rodden, Kelsey Susino, Felisha Cooper",https://www.imdb.com/title/tt33505100/,"Due to a coincidence, Jessie is mistaken for a man by CEO Nathan and gets hired as his personal assistant. Little do they know, their love story began years ago.",Comedy,,,"September 30, 2024 (United States)",United States,Frame IO,,,Bad Larry Productions
Stop Calling Me Miss,2024,6.9,-34,"JC Ann, Eliza Roberts, Paul Addison",https://www.imdb.com/title/tt34185688/,"A privileged heiress must navigate a twisted game of power, betrayal, and forbidden love when her former bodyguard, now her master, rises to claim control over her life- and her heart.",Drama,Romance,Thriller,"September 19, 2024 (United States)",United States,full show,,,
Chasing My Rejected Wife,2024,7.2,-491,"Connor Tuohy, Haley Evans, Jackie McCarthy",https://www.imdb.com/title/tt32729879/,"As Aileen navigated her new life at work, she unexpectedly fell deeply for her boss. But Aileen had been married for a year, although she and her husband encounters were so scarce they could barely recall each other's faces.",Romance,,,June 2024 (United States),United States,ShortMax,,,
Spoiled by My Billionaire Husband,2023–2024,8,-93,"Nick Ritacco, Eddie Vincent, Patrick McDermott",https://www.imdb.com/title/tt30869115/,"Scarlett, on a journey to fulfil her grandmother's last wish, chooses the path of a flash marriage. However, she ends up targeting the wrong person: her husband is none other than a mysterious billionaire whom she met long before.",Drama,,,"December 28, 2023 (United States)",United States,Official YouTube,Shot Short,,24K Onions
Spoiled by My CEO Husband,2024,8.5,-80,"Morgan Tate, Jennings Brower, Alexandria Watts",https://www.imdb.com/title/tt34621517/,A CEO that is used to controlling everything around him including his woman.,Drama,Romance,,"November 13, 2024 (United States)",United States,Flex TV,,,"Coldfish Productions, Great Red Spot Collective"
Secretly Married to the CEO,2024,6.8,-26,"Bianca Buchholtz, Fraser Murray, Yago Borges",https://www.imdb.com/title/tt33073999/,"After a one-night stand with her boss, he asks her to marry him for his grandmother, so to save her mother she says yes.",Talk-Show,,,"August 1, 2024 (United States)",Canada,DramaBox,,,"Drama Box, October Studio"
My Gigolo Alpha,2024,7.8,-77,"Eric Guilmette, Glory Rodriguez, Keilah Jude",https://www.imdb.com/title/tt33055765/,"In a world where humans and werewolves coexist, Miranda must be married before 25 to inherit the family business. Rejecting her arranged marriage, she marries Brian, an Alpha werewolf, after a night of passion.",Romance,,,"June 1, 2024 (United States)",United States,link to the title,,,
Cherished by My Ex-Husband's Brother,2024,7.7,-75,"Brittany Marsicek, Paul Addison, Lawson Greyson",https://www.imdb.com/title/tt33995778/,"A full-time housewife, Chloe, who is left penniless after being betrayed by her husband Phillip on her 30th birthday, finds solace and support in her secret admirer,younger brother-in-law Vernon.",Drama,,,"July 25, 2024 (United States)",United States,DramaBox,,,
The Heiress and Her Three Princes,2024,6.9,-59,"Emily Gateley, Freddy Piazza, Luca Greenspun",https://www.imdb.com/title/tt33008170/,"Just as Ria hits her rock bottom in life, three billionaire brothers come to her save. They offer her a multi-billion inheritance. But, under one condition: she has to marry one of the three brothers to be the heiress. Who would she pick?",Comedy,,,"July 18, 2024 (United States)",United States,Kalos TV,,,"Drama Box, Narval Films, YRBW Productions"
Rejected Luna's Prince,2024,7.8,-92,"Emily Gateley, Myles Clohessy, Felisha Cooper",https://www.imdb.com/title/tt34516180/,"Abandoned by her fated mate when he learns of her pregnancy, Willa escapes to raise her son alone. Meanwhile, her fated mate Prince Dracos embarks on a relentless quest to find her.",Drama,,,"July 15, 2024 (United States)",United States,DramaBox,,,The Bad Kids Production
A Matter of Sin and Love,2023,5.9,-265,"Lani Castle, Daniel Jongma, Hannah Macaulay",https://www.imdb.com/title/tt28198624/,"After a plane crash orphans Elena, Christian adopts her. Years later, he forces her into marriage despite dating her sister Lucia and separating her from friend Peter, but Elena and Christian can't leave each other.",Romance,,,"February 11, 2024 (United States)",Australia,platform website,,,"Flex TV, Panda Pictures Films"
Alpha's Perfect Love,2024,7.3,-119,"Mark Vega, Francesca Rowe, Brooklyn Benson",https://www.imdb.com/title/tt32405007/,"Alpha Liam finds out that his mate, Dora, is a regular human who hates werewolves to her guts. To be with her, Liam keeps his werewolf identity a secret and pretends to be a regular human",Romance,,,"May 15, 2024 (United States)",United States,DramaBox,,,"Drama Box, Phantom Visual"
Vengeance and Untold Love,2024,5.7,-11,"Stuart Forbes, Austin Hunza",https://www.imdb.com/title/tt33430225/,Add a plot in your language,Romance,,,"January 10, 2024 (United States)",,,,,
"Dear Husband, Let's Get Divorced",2024,8.3,-30,"James Liddell, Raquel Woodruff, Kelsey C Lynn",https://www.imdb.com/title/tt34758057/,"Natalie ends her marriage, and when her ex realizes his mistake, he tries to win her back. But his half-brother also vies for Natalie's affection.",Drama,Romance,,"November 15, 2024 (United States)",United States,GoodShort,GoodShort,,GoodShort
The Lady Boss Is Done Pretending,2024,7.6,-178,"Mariah Moss, Noah Fearnley, Paige Marie Smeltzer",https://www.imdb.com/title/tt34737521/,"Before Eva Washington can reveal her identity as a billionaire heiress, her husband Kevin cheats on her with a mistress. Determined to get revenge, Eva marries Ryan Jones, a man who can match her strength and economic power.",Romance,,,"November 12, 2024 (United States)",United States,GoodShort,,,Journey Entertainment
Return of the Abandoned Heiress,2024,6.5,-127,"Sophia Delucchi, Ben Taylor, Ray Buffer",https://www.imdb.com/title/tt34757101/,"After a tragic accident, a young heiress is abandoned by her cruel family who drains her blood to save another. Years later, she faces bullying from them, unaware she's the long-lost heiress they've sought.",Drama,,,"November 19, 2024 (United States)",United States,GoodShort,,,"Narval Films, YRBW Productions"
The Birth of the Black Lotus,2024,7.3,-21,"Lil Safonova, Jean Evans, Aidan Browne",https://www.imdb.com/title/tt34868337/,"Diana's pregnant sister dies mysteriously. Suspecting foul play, Diana returns home with her assistant Dean to investigate her brother-in-law Sam and sister's friend David's odd relationship.",Crime,Drama,,"November 27, 2024 (United States)",United States,GoodShort,GoodShort,,"Open Vision Films, Open Vision Films"
