title,year,rating,review_count,stars,detail_url,storyline,genre1,genre2,genre3,release_date,country_of_origin,platform1,platform2,platform3,production_company
Taking Love as a Contract,2024,,,,https://www.imdb.com/title/tt32029497/,"Xia Tian, an unknown actress, hustling for a living, takes a gamble to protect her grandmother's house by assuming the identity of the He family's heiress. Disguised as the ""princess,"" she aids Ji Chengxuan, the adopted son of the He family, in gaining recognition from his family. Triumphing over a series of challenges and doubts, they safeguard their respective familial bonds and unexpectedly discover love blossoms between them.",Drama,Romance,,,China,Baidu,,,
Forget Me Not: Omega's Return,2023,7.6,-78,"Livia Pillmann, Eric Guilmette, Kyle Fragnoli",https://www.imdb.com/title/tt29713955/,"In a world of moonlit secrets, Elena and Theodore, soulful werewolves, unite against their kind. To unearth the truth and protect their love, they forge an extraordinary, supernatural bond.",Romance,,,"October 17, 2023 (United States)",United States,GoodShort,,,Unreal Imagine
Reincarnated Love: Amy's Revenge,2024,7.2,-17,"Robin Åkerstrand, Katie Kay, Douglas Jung",https://www.imdb.com/title/tt30291912/,"Amy thinks she is going to marry the love of her life, businessman and her childhood sweetheart Skylor, but it turns out he only wants to wed her in order to get revenge on her family for the murder of his father.",Drama,Romance,,"February 27, 2024 (United States)",United States,GoodShort,,,G-ED Up Entertainment
Oops! I Married a CEO by Mistake,2024–,8,-87,"Kyra Wisely, Ryan Watson Henderson, Sia Kravchenko",https://www.imdb.com/title/tt31656781/,"Abigail's fiancé and stepsister gloat over their murder of her. Overhearing their plan, she marries a broke model named Henry as revenge. However, just as things are getting real between them, she finds out a shocking secret about Henry.",Comedy,Drama,Romance,"March 7, 2024 (United States)",United States,link to title on streaming platform,,,
Let Me Go My Queen,2023,7.9,-28,"Ashley Michelle Grant, Kyra Wisely, Felisha Cooper",https://www.imdb.com/title/tt29244611/,"A young man is sent back in time to ancient matriarchal Roman times, she is pursed by the many women, after using his knowledge and inventions from the future.",Comedy,Drama,Fantasy,"September 1, 2023 (United States)",United States,DramaBox,,,24K Onions
"After Divorce, Stripper CEO and I Dominate Hollywood",2024,7.9,-24,"Felix Merback, Lauren Bonham, Brooke Vanderdonck",https://www.imdb.com/title/tt32084225/,"A-list actor Judy's life is spiraling out of control when her divorce blacklists her from Hollywood and puts her millions of dollars in debt. Through a chance encounter with George Miles, the secret CEO of a major studio, Judy is able to regain her power and get revenge against the people working to bring her down, all while unexpectedly falling in love.",Comedy,,,"April 22, 2024 (United States)",United States,,,,Big Pa Pictures
CEO's Substitute Wife,2024,7.1,-67,"Sihang 'Annie' Cheng, Kelley Faith Barrett, Faith Barrett",https://www.imdb.com/title/tt32245089/,"After her twin's death, Ariel assumes Alice's identity to avenge her fiance's infidelity and manipulative family. Complications arise when Ariel marries Victor, forcing her to conceal her true self.",Drama,Romance,,"May 9, 2024 (United States)",United States,,,,
Love Is a Lullaby,2023,6.7,-8,Anina Net,https://www.imdb.com/title/tt34361034/,Add a plot in your language,Drama,,,"December 20, 2023 (United States)",United States,GoodShort,,,GoodShort
The Forbidden Love,2023,6.7,-23,"Monroe Cline, Alyssa Corella, Poonam Basu",https://www.imdb.com/title/tt28698592/,"Follows Jane Dunn, newly released from jail, who gets a job at a strip club in Los Angeles where she encounters Sean Stewart, the man who imprisoned her, forcing her to sign a contract at the club.",Drama,,,"July 12, 2023 (United States)",United States,GoodReels,GoodShort,,"Storypod Studio, The Bad Kids Production"
Profits Prophecy,2023,7.7,-7,"Josh Stone, Tiffany Chevonne, Jaysin Decora",https://www.imdb.com/title/tt30645041/,Add a plot in your language,Romance,,,"November 8, 2023 (United States)",China,,,,Reverse Clock Entertainment
The Double Life of My Billionaire Husband,2023,6.6,(2.8K),"Avery Lynch, Jarred Harper, Joe Zhang",https://www.imdb.com/title/tt29605443/,"Sebastian Klein, a renowned Klein family member, was rumored to be a loser after a prison stint. Natalie Quinn, unaware of the truth, married him, leading to a covert billionaire marriage.",Action,,,"June 27, 2023 (United States)",United States,ReelShort,,,New Leaf Publishing I
The Double Life of a Billionaire Heiress,2024,7.7,-284,"Haley Lohrli, Marc Herrmann, Braxton Angle",https://www.imdb.com/title/tt32395104/,"After three years of marriage, CEO Wes Sterling is convinced that his wife Kira is a cheating gold-digger. Fed up with Wes's accusations and mistreatments, Kira finally divorces him and re-embraces her true identity, a billionaire heiress.",Romance,,,"May 18, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
You Belong with Me,2024,8.4,-402,"Emma Hullar, Eric Guilmette, Casie Maghran",https://www.imdb.com/title/tt32445735/,"Kristine seeks revenge on her abusive family and cheating fiance by seducing Henry, her fiance's uncle and heir to the Lockwood fortune, in a bold move that challenges societal norms.",Romance,,,"May 22, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Married at First Sight,2023,7.3,-390,"Autumn Noel, Ariel Yasmine, Chase Lawless",https://www.imdb.com/title/tt30523849/,"After supporting Vincent through law school, Summer is devastated when he leaves her for a wealthy woman. In retaliation, she marries a stranger who turns out to be billionaire CEO Christian Norton.",Drama,,,"December 17, 2023 (United States)",United States,ReelShort,ReelShort,,New Leaf Publishing I
Recipe for Faking a Marriage,2024,7.8,-124,"Kaitlin Sanders, Jesse Morales, Laura Karoubi",https://www.imdb.com/title/tt33725038/,"Humble baker Everly weds billionaire single dad Julian to help him keep custody of his daughter, but their fake marriage heats up fast as they fight off a jealous rival, a stalker ex-fiancé, and Julian's unhinged ex-wife's wicked schemes.",Romance,,,"October 8, 2024 (United States)",United States,ReelShort,ReelShort,,ReelShort
The Lost Prima Ballerina,2024,7.1,-116,"Neela Jolene, Eli Jane, Christopher Quartuccio",https://www.imdb.com/title/tt34237379/,"Wealthy heiress Amelia's kidnapped as a child by Jennifer, a waitress wanting a better life. Now a ballet star, Amelia endures her impostor ""family's"" bullying until the truth emerges and her real family seeks forgiveness.",Drama,,,"October 22, 2024 (United States)",United States,ReelShort,,,ReelShort
The Return of My Mafia Husband,2024,7.4,-36,"Sarah Louise Kane, Lennie Ross, Violet Bennett",https://www.imdb.com/title/tt34657180/,"Leo, a mafia don, and Olivia share a loving bond until Leo's accident. Years later, Olivia discovers Leo's criminal life, thrusting them into a dangerous world as they fight for their romance.",Crime,,,"October 16, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
"OMG, I'm Surrounded by Princes",2024,7.6,-61,"Seth Edeen, Faith Orta, Molly Flanagan",https://www.imdb.com/title/tt34494866/,"A destitute vendor uncovers her royal heritage. As princes seek her out, her traitorous friend claims the princess identity. Amid peril, Prince Charles' protection sparks Erin's affection for her ""brother.""",Romance,,,"November 10, 2024 (United States)",United States,ReelShort,ReelShort,,ReelShort
"Sit Down, Be Humble",2024,7.4,-67,"Juliet Chevelle, Leif Erik Offerdahl, Skyla Lynne",https://www.imdb.com/title/tt33088308/,"Heiress hides identity to find genuine love. She falls for a charming man who later rejects her. Devastated, she reveals her wealth but faces disbelief. Will she find self-worth beyond societal validation?",Romance,,,"August 17, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
"OMG, I Got Married in Vegas!",2024,7.6,-114,"Sarah Noelle, Richard Sharrah, Kyle Colton",https://www.imdb.com/title/tt33366255/,A rich CEO of a famous fashion company goes undercover to avoid an arranged marriage,Romance,,,"September 12, 2024 (United States)",United States,ReelShort,,,ReelShort
My Sugar-Coated Mafia Boss,2024,7.6,-165,"Marc Herrmann, Bri Ana Wagner, Christine",https://www.imdb.com/title/tt33306878/,"Athena, a pastry chef, rescues Dex, a mafia boss. Her heroic act is mistakenly credited to her friend. Unaware, Dex, grateful, becomes Athena's apprentice, determined to learn baking from her.",Romance,,,"August 31, 2024 (United States)",United States,ReelShort,,,ReelShort
The Devil Wears Desire,2024,7.7,-55,"K. Tappan, Hannah Lowery, Neven Tomic",https://www.imdb.com/title/tt34376328/,"A dying woman's heart entangles her between four men: her amnesiac first love, a guarded billionaire, a manipulative heir, and a crime lord with a mysterious heart transplant. Love, secrets, and survival hang in the balance.",Crime,Drama,Romance,"November 9, 2024 (United States)",United States,,,,
Lady Boss Takes on Vegas Bullies!,2024,7.6,-27,"Alicia Underwood, Skyla Lynne, Ellen Molina",https://www.imdb.com/title/tt34440639/,Add a plot in your language,Romance,,,"November 4, 2024 (United States)",United States,ReelShort,ReelShort,,ReelShort
Resisting Mr. Lloyd: An Age Gap Romance,2024,7.8,-145,"Richard Sharrah, Finley Riter, Sarah Moliski",https://www.imdb.com/title/tt34375959/,"Facing family pressure to marry, a college student's life changes when she meets a CEO who proposes a fake marriage in exchange for money to fulfill his grandmother's wish. An unexpected alliance forms as the CEO hides his identity.",Romance,,,"October 31, 2024 (United States)",United States,ReelShort,,,ReelShort
The Call Boy I Met in Paris,2024,6.6,-574,"Connor Tuohy, Alyona, Amanda Glass",https://www.imdb.com/title/tt32729968/,"Sophie met Justin seven years ago, but she doesn't remember who he is. As fate would have it, they reunite seven years later after a one night stand. She mistakens him for a callboy and asks him to fake marry her, but little does she know.",Romance,,,"June 5, 2024 (United States)",United States,ReelShort,,,ReelShort
The Virgin and the Billionaire,2024,6.7,-146,"Rebecca Stoughton, Aaron Russell, Lauren Bonham",https://www.imdb.com/title/tt34457809/,"A chance encounter leads to an extraordinary love story between Cindy, a woman from a difficult background, and the affluent Charles Kane.",Drama,Romance,,"September 10, 2024 (United States)",United States,ReelShort,ReelShort,,Snow Story Productions
The Secret of my Billion-Dollar Marriage,2024,8.3,-78,"Kelsey Maskell, Alistair David Herz, Kasey Esser",https://www.imdb.com/title/tt34498110/,"Heiress Emma and billionaire Lucas' lives intertwine after an awkward encounter, leading them to fake a marriage, navigating misunderstandings and clashes while unexpected feelings bloom.",Romance,,,"November 7, 2024 (United States)",United States,ReelShort,,,"Golden Infinity, New Leaf Publishing I"
Mr. Hill's Adorable Wife,2024,7.1,-148,"Meg Bush, Jesse Morales, Sheila Ball",https://www.imdb.com/title/tt33620450/,"A woman ostracized for a birthmark finds solace with a billionaire, but a tragic accident robs her memory. He unknowingly harbors her, their connection imperiled by dark pasts and secrets.",Romance,,,"October 5, 2024 (United States)",United States,ReelShort,,,ReelShort
Infatuated with the CEO,2024,7.9,-106,"Michael Cline, Haley Lohrli, Marc Herrmann",https://www.imdb.com/title/tt34720743/,"Successful businesswoman Emma has a one-night stand with her partner August after catching her fiance cheating. Despite wanting to break up, she's manipulated to stay, while August pursues her, hoping she'll give them a chance.",Romance,,,"November 1, 2024 (United States)",United States,ReelShort,ReelShort,,Crazy Maple Studio
His One and Only Love,2024,7.7,-123,"Autumn Noel, Jesse Morales, Circus-Szalewski",https://www.imdb.com/title/tt33818885/,"After having a one night stand with a billionaire CEO, a young, poor casino waitress becomes pregnant. He finds out, marries and spoils her, and punishes anyone from his life and hers, who comes after her.",Drama,,,"October 24, 2024 (United States)",United States,ReelShort,,,ReelShort
Breaking the Ice,2024,7,-755,"James C. Burns, Nicole Mattox, Seth Edeen",https://www.imdb.com/title/tt33015766/,"Caroline's first love Easton, now a hockey star, rehires her after 8 years. She never told him he fathered her child. Reunited, will she reveal the truth before it's too late?",Drama,,,"July 27, 2024 (United States)",United States,ReelShort,ReelShort,,ReelShort
VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,2024–,5.7,-242,"Nana Nanato, Ayane Sakura, Hayden Daviau, Sarah Wiedenheft",https://www.imdb.com/title/tt32332792/,"VTuber Awayuki Kokorone's improper alter ego is accidentally revealed on stream, boosting her popularity. She decides to embrace this persona to become a star.",Animation,Comedy,,"July 7, 2024 (United States)",Japan,Official Twitter (Japan),Official Website,,TNK
After Cancer I Turn Into a Badass,2024,8.8,-44,"Violet Bennett, Bradley Meccariello, Ruby Griffin",https://www.imdb.com/title/tt34657188/,"A timid woman receives a wrong terminal diagnosis and transforms into a bold, revenge-seeking diva. As she settles scores with her oppressive family, her husband uncovers a shocking truth about his past.",Drama,,,"November 9, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Break My Heart Again,2024,8.3,-101,"Autumn Noel, Sam Myerson, Hannah Lowery",https://www.imdb.com/title/tt33059923/,"Former lovers reunite when Lucie becomes Felix's employee. As feelings resurface, past secrets threaten to divide them again unless Lucie reveals the truth behind their sacrificed love.",Drama,,,"September 3, 2024 (United States)",United States,ReelShort,,,ReelShort
"Baby, You Had It Coming",2024,6.7,-36,"Mia Wilson, Mike Jeffrey, Victoria Joliddie",https://www.imdb.com/title/tt33207505/,"After a fairy tale marriage turns nightmarish due to betrayals, billionaire heiress Ivy decides to reclaim her life and make her deceitful husband pay, unleashing her power and influence in an unforgiving pursuit of justice.",Romance,,,"August 21, 2024 (United States)",United States,ReelShort,,,ReelShort
"Dear Husband, Delete My Number",2024,7.7,-201,"Sarah Noelle, Marc Herrmann, Sarah Moliski",https://www.imdb.com/title/tt32752008/,"Emma's husband Elijah ignores her after her accident, choosing to be with his girlfriend Stella instead. When Stella gets pregnant, Emma divorces Elijah, taking nothing despite his assumption she's a gold-digger.",Comedy,,,"July 4, 2024 (United States)",United States,ReelShort,,,"New Leaf Publishing I, ReelShort"
We Are Never Ever Getting Back Together,2024,8.7,-282,"Molly Anderson, Jarred Harper, Tali Chart",https://www.imdb.com/title/tt32094394/,"After divorcing her neglectful CEO husband Aidan, Lisa accidentally sleeps with him incognito. Aidan then hires her as his secretary unaware of her identity, igniting a comedic pursuit. Will she reveal herself and give him another chance?",Comedy,Drama,,"May 11, 2024 (United States)",United States,ReelShort,,,"New Leaf Publishing I, ReelShort"
The Return of My Drama Queen,2024,8.7,-85,"Kåius Härrisøn, Monroe Cline, Jake Hobbs",https://www.imdb.com/title/tt32793199/,"Marie time-travels to 2024, reincarnated as Antonia, married to her lover. With a second chance, she aims to make her marriage work.",Romance,,,"June 29, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Love Ages Like Fine Wine,2024,7.6,-47,"Lawson Greyson, Ian S. Peterson, Andrew Cawley",https://www.imdb.com/title/tt33374442/,Add a plot in your language,Romance,,,"September 14, 2024 (United States)",United States,ReelShort,ReelShort,,ReelShort
Oh No! I Slept with My Husband!,2024,7.8,-105,"Brittany Marsicek, Ali Badalov, Kathryn Hollis Peters",https://www.imdb.com/title/tt31974713/,Add a plot in your language,Romance,,,"March 30, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Accidental Surrogate for Alpha,2024,7.7,-286,"Anna DeRusso, Luke Charles Stafford, Jesús Lloveras",https://www.imdb.com/title/tt33531697/,"Ella is deathly afraid of werewolves; now she's pregnant with one. Forced into a contract marriage with billionaire Alpha Dominic Moon, she must hide her identity to survive.",Fantasy,Horror,Romance,"October 1, 2024 (United States)",United States,ReelShort,,,ReelShort
I Accidentally Hired a Billionaire Husband,2024,7.5,-100,"Macy Faith Boren, Kasey Esser, R. Stoughton",https://www.imdb.com/title/tt32378180/,"This is on the app ReelShort. Emma, A struggling woman, hires, Oliver, a billionaire, to pose as her husband. She mistakes him for the man she hired online to be her fake husband, and they fall in love with each other for real..",Drama,Romance,,"May 15, 2024 (United States)",,,,,"Golden Infinity, New Leaf Publishing I"
I Accidentally Married a Billionaire,2024,8.1,-23,"Paul Matte, Cynthia Menard, Piyal Sarker",https://www.imdb.com/title/tt31380894/,Add a plot in your language,Drama,,,"May 1, 2024 (Canada)",Canada,,,,Union Film Group
